Fronte;Retro
"Corollario di Lagrange: derivata nulla";"Enunciato: se $f$ è derivabile su un intervallo $I$, allora $f'(x)=0$ per ogni $x\in I$ se e solo se $f$ è costante su $I$.<br>Dimostrazione: se $x_1<x_2$, per Lagrange esiste $c\in(x_1,x_2)$ tale che $f(x_2)-f(x_1)=f'(c)(x_2-x_1)=0$. Quindi $f(x_1)=f(x_2)$ e $f$ è costante. Il viceversa è immediato: la derivata di una costante è zero."
"Corollario di Lagrange: derivata seconda nulla";"Enunciato: se $f$ è due volte derivabile su un intervallo $I$, allora $f''(x)=0$ per ogni $x\in I$ se e solo se $f(x)=mx+q$.<br>Dimostrazione: se $f''=0$, allora $(f')'=0$, quindi per il corollario precedente $f'$ è costante: $f'(x)=m$. Una funzione con derivata costante $m$ differisce da $mx$ per una costante, quindi $f(x)=mx+q$. Il viceversa si verifica derivando due volte."
"Corollario: caratterizzazione delle primitive";"Enunciato: se $F$ e $G$ sono primitive della stessa funzione $f$ su un intervallo $I$, allora esiste $C\in\mathbb R$ tale che $F(x)=G(x)+C$.<br>Dimostrazione: considera $H(x)=F(x)-G(x)$. Allora $H'(x)=F'(x)-G'(x)=f(x)-f(x)=0$. Per la caratterizzazione delle funzioni a derivata nulla, $H$ è costante. Quindi $F-G=C$."
"Test di monotonia";"Enunciato: se $f$ è derivabile su un intervallo $I$, allora $f'\ge0$ su $I$ implica $f$ crescente; $f'\le0$ implica $f$ decrescente. Viceversa, se $f$ è crescente, allora $f'\ge0$ dove esiste; se è decrescente, $f'\le0$.<br>Dimostrazione: per $x_1<x_2$, Lagrange dà $f(x_2)-f(x_1)=f'(c)(x_2-x_1)$. Se $f'\ge0$, il prodotto è $\ge0$, quindi $f(x_2)\ge f(x_1)$. Viceversa, dalla monotonia il rapporto incrementale ha sempre segno coerente e passando al limite ottieni il segno della derivata."
"Corollario: monotonia stretta";"Enunciato: se $f'(x)>0$ per ogni $x$ dell'intervallo, allora $f$ è strettamente crescente. Se $f'(x)<0$ per ogni $x$, allora $f$ è strettamente decrescente.<br>Dimostrazione: per $x_1<x_2$, Lagrange dà $f(x_2)-f(x_1)=f'(c)(x_2-x_1)$. Se $f'(c)>0$ e $x_2-x_1>0$, allora $f(x_2)-f(x_1)>0$."
"Teorema: convessità e monotonia della derivata";"Enunciato: se $f$ è derivabile su un intervallo, allora $f$ è convessa se e solo se $f'$ è crescente. Analogamente, $f$ è concava se e solo se $f'$ è decrescente.<br>Dimostrazione: idea d'esame. Per una funzione convessa, le pendenze delle secanti aumentano spostandosi verso destra; passando al limite delle secanti si ottiene che $f'$ è crescente. Viceversa, se $f'$ è crescente, le rette tangenti stanno sotto il grafico e quindi vale la disuguaglianza di convessità."
"Corollario: test della derivata seconda per convessità";"Enunciato: se $f$ è due volte derivabile su $I$, allora $f''(x)\ge0$ su $I$ implica $f$ convessa; $f''(x)\le0$ implica $f$ concava.<br>Dimostrazione: se $f''\ge0$, allora la derivata di $f'$ è non negativa, quindi per il test di monotonia $f'$ è crescente. Per il teorema convessità-derivata, $f$ è convessa. Il caso concavo è analogo."
"Teorema: unicità del polinomio di Taylor";"Enunciato: se $f$ è derivabile $n$ volte in $x_0$, esiste un unico polinomio $P_n$ di grado al più $n$ tale che $P_n^{(k)}(x_0)=f^{(k)}(x_0)$ per $k=0,\dots,n$.<br>Formula: $P_n(x)=\sum_{k=0}^{n}\frac{f^{(k)}(x_0)}{k!}(x-x_0)^k$.<br>Dimostrazione: derivando $k$ volte il polinomio e valutando in $x_0$, il coefficiente di $(x-x_0)^k$ deve essere $f^{(k)}(x_0)/k!$. Quindi i coefficienti sono determinati in modo unico."
"Formula di Taylor con resto di Peano";"Enunciato: se $f$ è derivabile $n$ volte in $x_0$, allora per $x\to x_0$ si ha $f(x)=P_n(x)+o((x-x_0)^n)$, dove $P_n$ è il polinomio di Taylor di ordine $n$.<br>Significato: l'errore $f(x)-P_n(x)$ è trascurabile rispetto a $(x-x_0)^n$.<br>Dimostrazione: si mostra che $\frac{f(x)-P_n(x)}{(x-x_0)^n}\to0$ usando ripetutamente la definizione di derivata o, se disponibile, Taylor con resto di Lagrange più continuità della derivata opportuna."
"Formula di Taylor con resto di Lagrange";"Enunciato: se $f$ è derivabile $n+1$ volte in un intervallo che contiene $x_0$ e $x$, allora esiste $\xi$ tra $x_0$ e $x$ tale che $f(x)=P_n(x)+\frac{f^{(n+1)}(\xi)}{(n+1)!}(x-x_0)^{n+1}$.<br>Dimostrazione: si costruisce una funzione ausiliaria che annulla l'errore agli estremi e si applica ripetutamente Rolle fino a isolare il resto. È la forma precisa che permette di stimare l'errore."
"Disuguaglianza di Taylor / stima dell'errore";"Enunciato: se $|f^{(n+1)}(t)|\le K$ tra $x_0$ e $x$, allora $|f(x)-P_n(x)|\le \frac{K}{(n+1)!}|x-x_0|^{n+1}$.<br>Dimostrazione: si parte dal resto di Lagrange $R_n(x)=\frac{f^{(n+1)}(\xi)}{(n+1)!}(x-x_0)^{n+1}$ e si prende il valore assoluto. Poiché $|f^{(n+1)}(\xi)|\le K$, segue subito la stima."
"Teorema: successione convergente implica limitata";"Enunciato: se $a_n\to L\in\mathbb R$, allora la successione $(a_n)$ è limitata.<br>Dimostrazione: scegli $\varepsilon=1$. Da un certo indice in poi $|a_n-L|<1$, quindi $L-1<a_n<L+1$. I termini precedenti sono in numero finito, quindi hanno massimo e minimo. Unendo i due blocchi, la successione è limitata."
"Teorema: successione monotona e limitata";"Enunciato: una successione crescente e superiormente limitata converge; una successione decrescente e inferiormente limitata converge.<br>Dimostrazione: se $(a_n)$ è crescente e superiormente limitata, sia $L=\sup\{a_n\}$. Per definizione di supremo, per ogni $\varepsilon>0$ esiste $N$ con $L-\varepsilon<a_N\le L$. Per monotonia, per ogni $n\ge N$, $L-\varepsilon<a_n\le L$. Quindi $a_n\to L$."
"Teorema: successione geometrica";"Enunciato: per $a_n=q^n$: se $|q|<1$, allora $a_n\to0$; se $q=1$, $a_n\to1$; se $q=-1$, non ha limite; se $q>1$, diverge a $+\infty$; se $q<-1$, è illimitata e non ammette limite.<br>Dimostrazione: per $|q|<1$, le potenze si avvicinano a $0$ perché moltiplichi ogni volta per un numero in valore assoluto minore di $1$. Per $|q|>1$ i moduli crescono senza limite; se $q<0$ i segni alternano, quindi il limite non esiste."
"Teorema: crescita degli infiniti";"Enunciato: per $n\to\infty$, valgono le gerarchie tipiche $\log n=o(n^\alpha)$ per $\alpha>0$, $n^\alpha=o(a^n)$ per $a>1$, e in generale esponenziali crescono più velocemente delle potenze.<br>Dimostrazione: si confrontano i rapporti. Per esempio $\frac{\log n}{n^\alpha}\to0$ e $\frac{n^\alpha}{a^n}\to0$. Questi limiti si possono provare con de l'Hôpital nella versione per funzioni o con confronti standard."
"Teorema / criterio: simboli di Landau";"Enunciato: $a_n=o(b_n)$ se $a_n/b_n\to0$; $a_n\sim b_n$ se $a_n/b_n\to1$; $a_n=O(b_n)$ se $|a_n|\le C|b_n|$ definitivamente; $a_n=\Theta(b_n)$ se $c|b_n|\le |a_n|\le C|b_n|$ definitivamente.<br>Conseguenze: $a_n\sim b_n\Rightarrow a_n=O(b_n)$; $a_n=o(b_n)\Rightarrow a_n=O(b_n)$; $\Theta$ indica stesso ordine, ma non necessariamente equivalenza."
"Teorema del punto fisso per successioni ricorsive";"Enunciato: se $a_{n+1}=g(a_n)$, $g$ è continua e $a_n\to L$, allora $L=g(L)$.<br>Dimostrazione: passando al limite nella ricorrenza, il membro sinistro tende a $L$ perché anche $a_{n+1}\to L$; il membro destro tende a $g(L)$ per continuità. Quindi $L=g(L)$."
"Teorema: ricorrenza lineare $x_{n+1}=ax_n+b$";"Enunciato: se $a\ne1$, il punto fisso è $L=\frac{b}{1-a}$. Ponendo $y_n=x_n-L$, si ottiene $y_{n+1}=ay_n$. Quindi se $|a|<1$, $x_n\to L$; se $|a|>1$, in generale diverge; se $a=-1$, oscilla salvo casi particolari.<br>Dimostrazione: risolvi $L=aL+b$. Poi sottrai $L$ alla ricorrenza: $x_{n+1}-L=a(x_n-L)$. Dunque $x_n-L=a^n(x_0-L)$ e il comportamento dipende dalla successione geometrica $a^n$."
"Teorema di stabilità del punto fisso";"Enunciato: se $g$ è derivabile con derivata continua e $L$ è punto fisso, allora se $|g'(L)|<1$ il punto fisso è asintoticamente stabile; se $|g'(L)|>1$ è instabile.<br>Dimostrazione: vicino a $L$, per Taylor al primo ordine, $g(x)-L=g'(L)(x-L)+o(x-L)$. Se $|g'(L)|<1$, le distanze da $L$ vengono contratte; se $|g'(L)|>1$, vengono amplificate."
"Teorema di esistenza degli zeri";"Enunciato: se $f$ è continua su $[a,b]$ e $f(a)f(b)<0$, allora esiste $c\in(a,b)$ tale che $f(c)=0$.<br>Dimostrazione: metodo di bisezione. Si divide $[a,b]$ a metà e si sceglie il sottointervallo in cui i valori agli estremi hanno segno opposto. Iterando, si ottengono intervalli annidati con ampiezza che tende a $0$. Gli estremi convergono allo stesso punto $c$; per continuità e permanenza del segno deve essere $f(c)=0$."
"Metodo di bisezione: convergenza ed errore";"Enunciato: nella bisezione, dopo $n$ iterazioni lo zero appartiene a un intervallo di ampiezza $(b-a)/2^n$. L'errore del punto medio è al più $(b-a)/2^{n+1}$.<br>Dimostrazione: a ogni passo l'intervallo viene dimezzato. Dopo $n$ dimezzamenti l'ampiezza è $(b-a)/2^n$. Il punto medio dista al massimo metà dell'ampiezza da qualunque punto dell'intervallo, quindi dallo zero."
"Teorema di convergenza del metodo di Newton";"Enunciato: se $f\in C^2([a,b])$, $f(a)f(b)<0$, $f'$ e $f''$ hanno segno costante e si parte dall'estremo in cui $f(x_0)f''(x_0)>0$, allora la successione $x_{n+1}=x_n-\frac{f(x_n)}{f'(x_n)}$ converge allo zero $\alpha$.<br>Dimostrazione: le ipotesi danno unicità dello zero e controllano monotonia/convessità. La tangente tracciata dall'estremo scelto interseca l'asse dentro l'intervallo e genera una successione monotona e limitata; quindi converge. Passando al limite nella formula di Newton si ottiene $L=L-f(L)/f'(L)$, quindi $f(L)=0$ e $L=\alpha$."
"Definizione / teorema: convergenza di una serie";"Enunciato: la serie $\sum_{n=0}^{\infty} a_n$ converge se converge la successione delle somme parziali $S_N=\sum_{n=0}^{N}a_n$. In tal caso la somma della serie è $\lim_{N\to\infty}S_N$.<br>Dimostrazione: è una definizione operativa: una somma infinita si studia come limite delle somme finite."
"Condizione necessaria per la convergenza di una serie";"Enunciato: se $\sum a_n$ converge, allora $a_n\to0$.<br>Dimostrazione: se $S_n=\sum_{k=0}^{n}a_k$ converge a $S$, allora anche $S_{n-1}\to S$. Poiché $a_n=S_n-S_{n-1}$, segue $a_n\to S-S=0$. Attenzione: $a_n\to0$ non basta per la convergenza."
"Teorema: serie geometrica";"Enunciato: la serie $\sum_{n=0}^{\infty} q^n$ converge se e solo se $|q|<1$ e in quel caso vale $\sum_{n=0}^{\infty}q^n=\frac{1}{1-q}$.<br>Dimostrazione: le somme parziali sono $S_N=\frac{1-q^{N+1}}{1-q}$ se $q\ne1$. Se $|q|<1$, $q^{N+1}\to0$, quindi $S_N\to\frac1{1-q}$. Se $|q|\ge1$, il termine generale non tende a $0$ o oscilla, quindi la serie non converge."
"Teorema: serie armonica e serie armonica generalizzata";"Enunciato: la serie $\sum 1/n$ diverge. Più in generale, $\sum 1/n^p$ converge se e solo se $p>1$.<br>Dimostrazione: per $p=1$, raggruppa i termini: $1/2+1/3\ge1/2$, $1/4+\cdots+1/7\ge4\cdot1/7>1/2$, ecc.; le somme parziali crescono senza limite. Per $p\ne1$ si usa il criterio integrale con $\int_1^{\infty}x^{-p}dx$, che converge solo per $p>1$."
"Criterio del confronto per serie positive";"Enunciato: se $0\le a_n\le b_n$ definitivamente, allora: se $\sum b_n$ converge, anche $\sum a_n$ converge; se $\sum a_n$ diverge, anche $\sum b_n$ diverge.<br>Dimostrazione: le somme parziali di $\sum a_n$ sono crescenti e dominate da quelle di $\sum b_n$; se queste ultime sono limitate, anche le prime convergono. Il secondo punto è il contronominale."
"Criterio del confronto asintotico per serie positive";"Enunciato: se $a_n,b_n\ge0$ definitivamente e $a_n\sim b_n$, allora $\sum a_n$ e $\sum b_n$ hanno lo stesso carattere. Più in generale basta $a_n/b_n\to L$ con $0<L<+\infty$.<br>Dimostrazione: se $a_n/b_n\to L>0$, allora per $n$ grande esistono costanti $m,M>0$ tali che $m b_n\le a_n\le M b_n$. Si conclude con il criterio del confronto."
"Criterio del rapporto";"Enunciato: per una serie a termini positivi, se $\lim_{n\to\infty}\frac{a_{n+1}}{a_n}=L$, allora: $L<1$ converge; $L>1$ diverge; $L=1$ il criterio non decide.<br>Dimostrazione: se $L<1$, scegli $r$ con $L<r<1$. Definitivamente $a_{n+1}/a_n\le r$, quindi $a_n$ è dominata da una geometrica convergente. Se $L>1$, definitivamente $a_{n+1}>a_n$ o comunque i termini non tendono a $0$, quindi la serie diverge."
"Criterio della radice";"Enunciato: per una serie a termini positivi, se $\lim_{n\to\infty}\sqrt[n]{a_n}=L$, allora: $L<1$ converge; $L>1$ diverge; $L=1$ il criterio non decide.<br>Dimostrazione: se $L<1$, scegli $r$ con $L<r<1$. Definitivamente $\sqrt[n]{a_n}\le r$, cioè $a_n\le r^n$, e la geometrica converge. Se $L>1$, definitivamente $a_n$ non tende a $0$, quindi la serie diverge."
"Teorema: integrabilità di funzioni continue o monotone";"Enunciato: ogni funzione continua su $[a,b]$ è integrabile secondo Riemann. Anche ogni funzione monotona e limitata su $[a,b]$ è integrabile.<br>Dimostrazione: per le continue si usa la continuità uniforme su $[a,b]$: suddividendo abbastanza l'intervallo, l'oscillazione della funzione in ogni sottointervallo diventa piccola, quindi somme superiori e inferiori sono vicine. Per le monotone, le oscillazioni totali sono controllate dalla variazione complessiva."
"Proprietà principali dell'integrale definito";"Enunciato: l'integrale è lineare, additivo sugli intervalli e monotono: $\int(\alpha f+\beta g)=\alpha\int f+\beta\int g$; $\int_a^b f=\int_a^c f+\int_c^b f$; se $f\le g$, allora $\int_a^b f\le\int_a^b g$.<br>Dimostrazione: tutte seguono dalle somme di Riemann: le proprietà valgono per le somme finite e passano al limite."
"Teorema della media integrale";"Enunciato: se $f$ è continua su $[a,b]$, allora esiste $c\in[a,b]$ tale che $\int_a^b f(x)dx=f(c)(b-a)$, cioè $f(c)=\frac{1}{b-a}\int_a^b f(x)dx$.<br>Dimostrazione: per Weierstrass esistono minimo $m$ e massimo $M$. Quindi $m(b-a)\le\int_a^b f\le M(b-a)$, cioè $m\le\frac1{b-a}\int_a^b f\le M$. Per il teorema dei valori intermedi, la funzione assume il valore medio in un punto $c$."
"Teorema di Torricelli-Barrow / funzione integrale";"Enunciato: se $f$ è continua su $[a,b]$ e $F(x)=\int_a^x f(t)dt$, allora $F$ è derivabile e $F'(x)=f(x)$.<br>Dimostrazione: $\frac{F(x+h)-F(x)}{h}=\frac1h\int_x^{x+h}f(t)dt$. Per il teorema della media integrale, questo rapporto vale $f(c_h)$ per qualche $c_h$ tra $x$ e $x+h$. Quando $h\to0$, $c_h\to x$ e per continuità $f(c_h)\to f(x)$."
"Teorema fondamentale del calcolo integrale";"Enunciato: se $f$ è continua su $[a,b]$ e $G$ è una primitiva di $f$, allora $\int_a^b f(x)dx=G(b)-G(a)$.<br>Dimostrazione: definisci $F(x)=\int_a^x f(t)dt$. Per Torricelli-Barrow, $F'=f$. Anche $G'=f$, quindi $F-G$ è costante. Poiché $F(a)=0$, si ha $F(x)=G(x)-G(a)$. Valutando in $b$: $\int_a^b f=F(b)=G(b)-G(a)$."
"Teorema: integrali impropri e convergenza";"Enunciato: un integrale improprio come $\int_a^{+\infty} f(x)dx$ converge se esiste finito $\lim_{R\to+\infty}\int_a^R f(x)dx$. Se il limite è infinito o non esiste, diverge.<br>Dimostrazione: è la definizione: si sostituisce l'estremo infinito con un estremo finito $R$ e si studia il limite dell'integrale definito al crescere di $R$."
"Esempio fondamentale: integrale improprio di $1/x^p$";"Enunciato: $\int_1^{+\infty}\frac{1}{x^p}dx$ converge se e solo se $p>1$. Inoltre $\int_0^1\frac{1}{x^p}dx$ converge se e solo se $p<1$.<br>Dimostrazione: per $p\ne1$, una primitiva è $\frac{x^{1-p}}{1-p}$. A $+\infty$ il termine $x^{1-p}$ tende a $0$ solo se $p>1$. Vicino a $0$, $x^{1-p}$ resta finito solo se $1-p>0$, cioè $p<1$. Per $p=1$ compare il logaritmo e diverge."
"Criterio del confronto per integrali impropri";"Enunciato: se $0\le f(x)\le g(x)$ definitivamente, allora: se $\int g$ converge, anche $\int f$ converge; se $\int f$ diverge, anche $\int g$ diverge.<br>Dimostrazione: le funzioni integrali $F(R)=\int_a^R f$ e $G(R)=\int_a^R g$ sono crescenti e $F(R)\le G(R)$. Se $G$ è limitata, anche $F$ è limitata e quindi converge. Il secondo caso è il contronominale."
"Criterio integrale per la convergenza di una serie";"Enunciato: se $f$ è continua, positiva e decrescente su $[1,+\infty)$ e $a_n=f(n)$, allora $\sum_{n=1}^{\infty} a_n$ converge se e solo se $\int_1^{+\infty} f(x)dx$ converge.<br>Dimostrazione: per monotonia, l'area sotto la curva è confrontabile con i rettangoli di base $1$ e altezza $f(n)$. Si ottengono disuguaglianze del tipo $\int_1^{N+1}f\le\sum_{n=1}^{N}f(n)\le f(1)+\int_1^N f$. Quindi serie e integrale hanno lo stesso carattere."
"Criterio: confronto tra funzioni asintotiche";"Enunciato: se $f(x)\sim g(x)$ per $x\to c$, allora $f$ e $g$ hanno lo stesso ordine di grandezza e, se sono termini positivi di serie, generano serie con lo stesso carattere.<br>Dimostrazione: $f/g\to1$. Quindi per $x$ vicino a $c$ si può imporre, ad esempio, $1/2\le f/g\le3/2$, cioè $\frac12 g\le f\le\frac32 g$. Poi si applica il confronto."
"Teorema: condizione sufficiente di divergenza per serie";"Enunciato: se $a_n$ non tende a $0$, allora $\sum a_n$ diverge.<br>Dimostrazione: è il contronominale della condizione necessaria: se la serie convergesse, allora necessariamente $a_n\to0$. Dunque se questo non accade, la serie non può convergere."
